count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct,unique_count,skewness,kurtosis
338646.0,-0.007,0.716,-0.995,-0.612,-0.051,0.689,1.0,0,0.0,26,0.035,-1.543
338646.0,0.006,0.72,-0.901,-0.901,-0.223,0.623,1.0,0,0.0,7,-0.033,-1.549
338646.0,2.996,2.015,0.0,1.0,3.0,5.0,6.0,0,0.0,7,-0.07,-1.325
338646.0,0.326,0.587,-0.5,-0.0,-0.0,0.866,1.0,0,0.0,4,-0.079,-1.613
338646.0,-0.09,3.987,-289.008,0.0,0.0,0.0,719.82,0,0.0,18788,15.641,3367.697
338646.0,0.133,0.34,0.0,0.0,0.0,0.0,1.0,0,0.0,2,2.156,2.65
338646.0,0.28,0.449,0.0,0.0,0.0,1.0,1.0,0,0.0,2,0.981,-1.038
338644.0,19.02,461.736,0.0,0.0,0.0,0.0,45847.233,2,0.001,9371,89.745,8851.901
338644.0,0.642,76.948,0.0,0.083,0.1,0.133,44718.617,2,0.001,1064,579.595,336830.725
338646.0,0.0,0.018,0.0,0.0,0.0,0.0,1.0,0,0.0,2,55.712,3101.89
338646.0,-0.098,0.733,-1.0,-0.866,-0.259,0.707,1.0,0,0.0,21,0.254,-1.496
338646.0,-0.001,0.698,-0.999,-0.651,-0.101,0.725,0.999,0,0.0,31,0.056,-1.496
338644.0,-0.0,1.092,-24.084,0.0,0.0,0.0,189.18,2,0.001,3313,88.672,11948.312
338646.0,7.518,4.553,2.0,3.0,11.0,12.0,12.0,0,0.0,4,-0.187,-1.92
338646.0,0.058,0.234,0.0,0.0,0.0,0.0,1.0,0,0.0,2,3.768,12.201
338646.0,-0.056,0.692,-0.975,-0.782,0.0,0.782,0.975,0,0.0,7,0.141,-1.452
338646.0,0.624,0.4,0.0,0.5,0.866,1.0,1.0,0,0.0,4,-0.607,-1.24
338646.0,15.529,8.923,1.0,8.0,16.0,23.0,31.0,0,0.0,31,0.004,-1.19
338646.0,37.806,82.613,0.0,6.489,21.751,46.011,858.999,0,0.0,192765,8.207,74.428
338646.0,0.001,0.023,0.0,0.0,0.0,0.0,1.0,0,0.0,2,43.461,1886.906
338646.0,-0.316,0.594,-1.0,-0.866,-0.5,0.0,1.0,0,0.0,22,0.606,-0.824
338646.0,12.85,5.25,0.0,9.0,13.0,17.0,23.0,0,0.0,24,-0.117,-0.764
338646.0,0.098,0.372,0.0,0.0,0.0,0.0,2.0,0,0.0,3,3.996,15.651
338646.0,0.025,0.156,0.0,0.0,0.0,0.0,1.0,0,0.0,2,6.094,35.141
338646.0,0.058,0.006,0.055,0.055,0.055,0.055,0.068,0,0.0,2,1.18,-0.608
338645.0,19.02,6.061,13.555,15.881,15.881,15.881,30.657,1,0.0,4,1.292,-0.164
338646.0,0.056,0.23,0.0,0.0,0.0,0.0,1.0,0,0.0,2,3.851,12.832
338645.0,54.143,1.494,49.189,54.369,54.369,54.369,55.484,1,0.0,4,-2.409,5.367
338646.0,0.897,0.179,0.0,0.869,0.984,0.999,1.0,0,0.0,352,-2.651,8.494
338645.0,32535.358,19747.445,1228.35,4091.0,45847.233,45847.233,45847.233,1,0.0,4,-0.812,-1.336
338646.0,1.092,0.017,1.063,1.102,1.102,1.102,1.102,0,0.0,2,-1.18,-0.608
338645.0,0.058,0.012,0.051,0.051,0.051,0.069,0.094,1,0.0,4,1.761,2.407
338645.0,1.09,0.076,0.829,1.049,1.125,1.125,1.125,1,0.0,4,-2.656,6.299
338646.0,0.025,0.156,0.0,0.0,0.0,0.0,1.0,0,0.0,2,6.094,35.141
338646.0,-0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0,0.0,2,-1.18,-0.608
338646.0,0.073,0.261,0.0,0.0,0.0,0.0,1.0,0,0.0,2,3.27,8.691
338646.0,146.533,1.973,143.078,147.66,147.66,147.66,147.66,0,0.0,2,-1.18,-0.608
338646.0,51.805,1.47,50.965,50.965,50.965,50.965,54.379,0,0.0,2,1.18,-0.608
338645.0,-0.0,0.001,-0.002,-0.0,0.0,0.0,0.005,1,0.0,4,1.475,5.128
338645.0,21.676,0.918,21.11,21.11,21.11,22.453,24.063,1,0.0,4,1.39,0.711
338646.0,0.002,0.003,0.0,0.0,0.0,0.002,0.015,0,0.0,352,2.651,8.494
338646.0,0.133,0.005,0.131,0.131,0.131,0.131,0.142,0,0.0,2,1.18,-0.608
338645.0,0.133,0.022,0.123,0.123,0.123,0.136,0.208,1,0.0,4,2.555,5.45
